鋻	giám
譪	ái
一	nhất
丁	chênh, tranh, trành, đinh
丂	khảo
七	thất
丄	thượng
丅	hạ
丆	duệ, hán
万	mặc, vạn
丈	trượng
三	tam, tám, tạm
上	thướng, thượng
下	há, hạ
丌	cơ, kỳ
与	dư, dữ, dự
𫝀	ngũ
不	bưu, bất, bỉ, phi, phu, phầu, phủ
丏	cái, diễn, miễn
丐	cái
丑	sửu, xú
专	chuyên
冇	mão
𠀇	thả
且	thư, thả, tồ
丕	phi
世	thế
丗	thế, táp
丘	khiêu, khâu
丙	bính
业	nghiệp
丛	tùng
东	đông
丝	ty
丞	chưng, chửng, thừa
丟	đâu
両	lưỡng, lượng, lạng
丢	đâu
亚	á
卋	thế
夹	giáp, kiếp
丣	dậu
两	lưỡng, lượng, lạng
严	nghiêm
並	bính, tinh, tính, tịnh
丧	tang, táng
丽	ly, lệ
丨	cổn
丩	cưu
个	cá, cán
丫	a, nha
中	trung, trúng
丮	kịch
丯	phong
丰	phong
书	thư
丱	quán
串	quán, xuyến
丳	sạn
临	lâm, lấm
丵	trác
𠁷	sản
丶	chủ
丸	hoàn
义	nghĩa
丹	đan, đơn
为	vi, vy, vị
主	chúa, chủ
丼	tỉnh, đảm
丽	ly, lệ
举	cử
丿	phiệt, thiên, triệt
乀	phất, phật
乁	di
乂	nghệ
乃	nãi, ái
久	cửu
乆	cửu
乇	thác, trách
么	ma, yêu
义	nghĩa
之	chi
凢	phàm
乌	ô
乏	phạp
尹	doãn, duẫn
乍	sạ, tác, xạ
乎	hô, hồ
乐	lạc, nhạc, nhạo
玍	ca
丢	đâu
乑	khâm, ngâm
乒	binh
乓	bang, bàng
乔	kiều
乕	hổ
乖	quai
乗	thặng, thừa
乘	thặng, thừa
乙	ất
乚	hào, ất
乜	khiết, mã, mị
九	cưu, cửu
乞	khí, khất
也	dã, giã, giả
习	tập
乡	hương, hướng, hưởng
卫	vệ
飞	phi
乢	cái
书	thư
氹	đãng
乩	kê
买	mãi
厾	đâu
乱	loạn
乳	nhũ
乴	tích
乹	can, càn, kiền
乾	can, càn, kiền
亀	quy
亁	can
亂	loạn
亄	ý
亅	quyết
了	liễu, liệu
予	dư, dữ
争	tranh, tránh
亊	sự
事	sự
二	nhị
亍	súc, xúc
于	hu, vu, ư
亏	khuy, vu
云	vân
互	hỗ
五	ngũ
井	tĩnh, tỉnh, đán
亘	cắng, hoàn, tuyên
亙	cắng
亚	á
亜	a, á
些	ta, tá
亝	tề
亞	a, á
亟	cức, khí
亠	đầu
亡	vong, vô
亢	cang, cương, hàng, kháng
交	giao
亥	giai, hợi
亦	diệc
产	sản
亨	hanh, hưởng, phanh
亩	mẫu
享	hưởng
京	kinh, nguyên
兖	duyễn, duyện
亭	đình
亮	lương, lượng
亯	hanh
亰	kinh
亱	dạ
亲	thân, thấn
亳	bạc
离	li, ly, lệ
亵	tiết
亶	chiên, thiện, đàn, đản
亸	đả
赢	doanh
亹	mên, môn, vĩ, vỉ
人	nhân, nhơn
亻	nhân, nhơn
个	cá, cán
亼	tập
亾	vong
亿	ức
什	thậm, thập
仁	nhân, nhơn
仂	lặc
仃	đinh, đính
仄	trắc
